time,date,hour,temperature_2m,precipitation,cloud_cover,wind_speed_10m,is_holiday,is_vacation,has_event,has_event_champs,has_event_stsperes,has_event_convention
2024-10-01 00:00:00,2024-10-01,0,14.0,0.0,100,19.2,0.0,False,0,0,1,1
2024-10-01 01:00:00,2024-10-01,1,13.8,0.0,100,18.7,0.0,False,0,0,1,1
2024-10-01 02:00:00,2024-10-01,2,13.7,0.0,100,19.6,0.0,False,0,0,1,1
2024-10-01 03:00:00,2024-10-01,3,13.5,0.0,100,18.4,0.0,False,0,0,1,1
2024-10-01 04:00:00,2024-10-01,4,12.6,0.0,100,16.4,0.0,False,0,0,1,1
2024-10-01 05:00:00,2024-10-01,5,12.1,0.0,100,14.9,0.0,False,0,0,1,1
2024-10-01 06:00:00,2024-10-01,6,11.8,0.0,100,14.4,0.0,False,0,0,1,1
2024-10-01 07:00:00,2024-10-01,7,11.5,0.0,100,14.3,0.0,False,0,0,1,1
2024-10-01 08:00:00,2024-10-01,8,12.0,0.0,100,14.0,0.0,False,0,0,1,1
2024-10-01 09:00:00,2024-10-01,9,13.1,0.0,100,14.9,0.0,False,0,0,1,1
2024-10-01 10:00:00,2024-10-01,10,14.5,0.0,100,17.4,0.0,False,0,0,1,1
2024-10-01 11:00:00,2024-10-01,11,15.5,0.0,54,15.9,0.0,False,0,0,1,1
2024-10-01 12:00:00,2024-10-01,12,16.6,0.0,98,15.5,0.0,False,0,0,1,1
2024-10-01 13:00:00,2024-10-01,13,17.4,0.0,48,14.7,0.0,False,0,0,1,1
2024-10-01 14:00:00,2024-10-01,14,17.4,0.0,60,13.4,0.0,False,0,0,1,1
2024-10-01 15:00:00,2024-10-01,15,17.2,0.1,41,12.3,0.0,False,0,0,1,1
2024-10-01 16:00:00,2024-10-01,16,17.2,0.0,56,10.5,0.0,False,0,0,1,1
2024-10-01 17:00:00,2024-10-01,17,16.7,0.0,31,9.1,0.0,False,0,0,1,1
2024-10-01 18:00:00,2024-10-01,18,15.0,0.0,31,5.7,0.0,False,0,0,1,1
2024-10-01 19:00:00,2024-10-01,19,13.4,0.0,10,8.1,0.0,False,0,0,1,1
2024-10-01 20:00:00,2024-10-01,20,12.4,0.0,3,9.9,0.0,False,0,0,1,1
2024-10-01 21:00:00,2024-10-01,21,12.0,0.0,1,12.0,0.0,False,0,0,1,1
2024-10-01 22:00:00,2024-10-01,22,11.5,0.0,5,13.0,0.0,False,0,0,1,1
2024-10-01 23:00:00,2024-10-01,23,11.5,0.0,18,15.0,0.0,False,0,0,1,1
2024-10-02 00:00:00,2024-10-02,0,11.6,0.0,98,18.6,0.0,False,0,0,1,1
2024-10-02 01:00:00,2024-10-02,1,12.0,0.0,43,21.4,0.0,False,0,0,1,1
2024-10-02 02:00:00,2024-10-02,2,12.7,0.1,71,22.0,0.0,False,0,0,1,1
2024-10-02 03:00:00,2024-10-02,3,12.7,0.0,19,20.2,0.0,False,0,0,1,1
2024-10-02 04:00:00,2024-10-02,4,12.3,0.0,10,17.5,0.0,False,0,0,1,1
2024-10-02 05:00:00,2024-10-02,5,12.0,0.0,18,16.9,0.0,False,0,0,1,1
2024-10-02 06:00:00,2024-10-02,6,12.1,0.0,100,16.4,0.0,False,0,0,1,1
2024-10-02 07:00:00,2024-10-02,7,12.6,0.0,100,17.1,0.0,False,0,0,1,1
2024-10-02 08:00:00,2024-10-02,8,13.4,0.5,85,19.2,0.0,False,0,0,1,1
2024-10-02 09:00:00,2024-10-02,9,13.9,0.5,96,18.2,0.0,False,0,0,1,1
2024-10-02 10:00:00,2024-10-02,10,14.4,0.2,100,18.4,0.0,False,0,0,1,1
2024-10-02 11:00:00,2024-10-02,11,14.4,0.2,99,15.3,0.0,False,0,0,1,1
2024-10-02 12:00:00,2024-10-02,12,14.8,0.0,51,13.6,0.0,False,0,0,1,1
2024-10-02 13:00:00,2024-10-02,13,16.5,0.0,56,14.0,0.0,False,0,0,1,1
2024-10-02 14:00:00,2024-10-02,14,15.4,0.1,100,12.5,0.0,False,0,0,1,1
2024-10-02 15:00:00,2024-10-02,15,15.4,0.0,100,14.8,0.0,False,0,0,1,1
2024-10-02 16:00:00,2024-10-02,16,15.2,0.0,100,15.8,0.0,False,0,0,1,1
2024-10-02 17:00:00,2024-10-02,17,15.2,0.0,100,14.5,0.0,False,0,0,1,1
2024-10-02 18:00:00,2024-10-02,18,14.8,0.0,100,11.2,0.0,False,0,0,1,1
2024-10-02 19:00:00,2024-10-02,19,13.6,0.0,47,10.3,0.0,False,0,0,1,1
2024-10-02 20:00:00,2024-10-02,20,12.6,0.0,25,11.9,0.0,False,0,0,1,1
2024-10-02 21:00:00,2024-10-02,21,12.4,0.0,26,14.2,0.0,False,0,0,1,1
2024-10-02 22:00:00,2024-10-02,22,11.9,0.0,31,15.9,0.0,False,0,0,1,1
2024-10-02 23:00:00,2024-10-02,23,11.1,0.0,58,15.2,0.0,False,0,0,1,1
2024-10-03 00:00:00,2024-10-03,0,10.7,0.0,87,14.1,0.0,False,0,0,1,1
2024-10-03 01:00:00,2024-10-03,1,10.4,0.0,37,13.0,0.0,False,0,0,1,1
2024-10-03 02:00:00,2024-10-03,2,10.8,0.0,42,13.8,0.0,False,0,0,1,1
2024-10-03 03:00:00,2024-10-03,3,10.4,0.0,50,14.7,0.0,False,0,0,1,1
2024-10-03 04:00:00,2024-10-03,4,9.7,0.0,41,14.2,0.0,False,0,0,1,1
2024-10-03 05:00:00,2024-10-03,5,9.3,0.0,33,13.5,0.0,False,0,0,1,1
2024-10-03 06:00:00,2024-10-03,6,9.1,0.0,85,11.8,0.0,False,0,0,1,1
2024-10-03 07:00:00,2024-10-03,7,9.4,0.0,59,11.4,0.0,False,0,0,1,1
2024-10-03 08:00:00,2024-10-03,8,10.7,0.1,100,14.7,0.0,False,0,0,1,1
2024-10-03 09:00:00,2024-10-03,9,12.0,0.0,100,19.1,0.0,False,0,0,1,1
2024-10-03 10:00:00,2024-10-03,10,12.8,0.0,100,17.6,0.0,False,0,0,1,1
2024-10-03 11:00:00,2024-10-03,11,13.0,0.0,100,16.7,0.0,False,0,0,1,1
2024-10-03 12:00:00,2024-10-03,12,13.5,0.0,100,18.1,0.0,False,0,0,1,1
