time,date,hour,temperature_2m,precipitation,cloud_cover,wind_speed_10m,is_holiday,is_vacation,has_event
2023-10-01 00:00:00,2023-10-01,0,14.2,0.0,0,7.5,0.0,0,0
2023-10-01 01:00:00,2023-10-01,1,13.9,0.0,0,6.8,0.0,0,0
2023-10-01 02:00:00,2023-10-01,2,13.5,0.0,0,8.4,0.0,0,0
2023-10-01 03:00:00,2023-10-01,3,13.2,0.0,0,6.8,0.0,0,0
2023-10-01 04:00:00,2023-10-01,4,12.8,0.0,0,5.4,0.0,0,0
2023-10-01 05:00:00,2023-10-01,5,12.6,0.0,0,5.9,0.0,0,0
2023-10-01 06:00:00,2023-10-01,6,12.4,0.0,0,6.0,0.0,0,0
2023-10-01 07:00:00,2023-10-01,7,12.3,0.0,0,7.0,0.0,0,0
2023-10-01 08:00:00,2023-10-01,8,13.8,0.0,0,11.4,0.0,0,0
2023-10-01 09:00:00,2023-10-01,9,16.0,0.0,0,8.7,0.0,0,0
2023-10-01 10:00:00,2023-10-01,10,18.6,0.0,0,9.2,0.0,0,0
2023-10-01 11:00:00,2023-10-01,11,21.3,0.0,40,8.2,0.0,0,0
2023-10-01 12:00:00,2023-10-01,12,23.0,0.0,26,7.2,0.0,0,0
2023-10-01 13:00:00,2023-10-01,13,24.4,0.0,51,8.6,0.0,0,0
2023-10-01 14:00:00,2023-10-01,14,25.2,0.0,78,10.8,0.0,0,0
2023-10-01 15:00:00,2023-10-01,15,25.7,0.0,86,11.8,0.0,0,0
2023-10-01 16:00:00,2023-10-01,16,25.7,0.0,97,11.5,0.0,0,0
2023-10-01 17:00:00,2023-10-01,17,24.8,0.0,99,7.6,0.0,0,0
2023-10-01 18:00:00,2023-10-01,18,21.8,0.0,99,7.1,0.0,0,0
2023-10-01 19:00:00,2023-10-01,19,19.1,0.0,99,9.2,0.0,0,0
2023-10-01 20:00:00,2023-10-01,20,18.5,0.0,100,6.9,0.0,0,0
2023-10-01 21:00:00,2023-10-01,21,18.1,0.0,100,7.8,0.0,0,0
2023-10-01 22:00:00,2023-10-01,22,17.5,0.0,99,8.7,0.0,0,0
2023-10-01 23:00:00,2023-10-01,23,16.9,0.0,94,8.5,0.0,0,0
2023-10-02 00:00:00,2023-10-02,0,15.5,0.0,100,8.0,0.0,0,0
2023-10-02 01:00:00,2023-10-02,1,16.6,0.0,69,7.6,0.0,0,0
2023-10-02 02:00:00,2023-10-02,2,15.6,0.0,73,6.6,0.0,0,0
2023-10-02 03:00:00,2023-10-02,3,14.6,0.0,92,8.0,0.0,0,0
2023-10-02 04:00:00,2023-10-02,4,14.0,0.0,44,6.6,0.0,0,0
2023-10-02 05:00:00,2023-10-02,5,13.6,0.0,53,5.9,0.0,0,0
2023-10-02 06:00:00,2023-10-02,6,13.5,0.0,81,7.8,0.0,0,0
2023-10-02 07:00:00,2023-10-02,7,13.2,0.0,54,7.3,0.0,0,0
2023-10-02 08:00:00,2023-10-02,8,14.4,0.0,100,9.6,0.0,0,0
2023-10-02 09:00:00,2023-10-02,9,16.4,0.0,76,8.0,0.0,0,0
2023-10-02 10:00:00,2023-10-02,10,18.9,0.0,99,7.7,0.0,0,0
2023-10-02 11:00:00,2023-10-02,11,21.2,0.0,100,8.2,0.0,0,0
2023-10-02 12:00:00,2023-10-02,12,23.3,0.0,100,9.0,0.0,0,0
2023-10-02 13:00:00,2023-10-02,13,25.1,0.0,36,9.2,0.0,0,0
2023-10-02 14:00:00,2023-10-02,14,26.3,0.0,99,10.2,0.0,0,0
2023-10-02 15:00:00,2023-10-02,15,27.0,0.0,57,11.4,0.0,0,0
2023-10-02 16:00:00,2023-10-02,16,27.2,0.0,0,11.9,0.0,0,0
2023-10-02 17:00:00,2023-10-02,17,26.4,0.0,34,10.7,0.0,0,0
2023-10-02 18:00:00,2023-10-02,18,24.0,0.0,0,10.6,0.0,0,0
2023-10-02 19:00:00,2023-10-02,19,22.3,0.0,14,12.1,0.0,0,0
2023-10-02 20:00:00,2023-10-02,20,21.6,0.0,89,12.7,0.0,0,0
2023-10-02 21:00:00,2023-10-02,21,21.4,0.0,99,15.5,0.0,0,0
2023-10-02 22:00:00,2023-10-02,22,21.6,0.0,100,17.4,0.0,0,0
2023-10-02 23:00:00,2023-10-02,23,21.9,0.0,100,16.9,0.0,0,0
2023-10-03 00:00:00,2023-10-03,0,22.0,0.0,100,16.1,0.0,0,0
2023-10-03 01:00:00,2023-10-03,1,21.9,0.0,100,17.1,0.0,0,0
2023-10-03 02:00:00,2023-10-03,2,21.0,0.0,100,17.1,0.0,0,0
2023-10-03 03:00:00,2023-10-03,3,19.9,0.0,98,17.1,0.0,0,0
2023-10-03 04:00:00,2023-10-03,4,19.2,0.0,100,14.4,0.0,0,0
2023-10-03 05:00:00,2023-10-03,5,18.8,0.5,100,14.0,0.0,0,0
2023-10-03 06:00:00,2023-10-03,6,18.5,0.0,99,15.9,0.0,0,0
2023-10-03 07:00:00,2023-10-03,7,18.4,0.0,99,14.4,0.0,0,0
2023-10-03 08:00:00,2023-10-03,8,19.1,0.1,100,17.7,0.0,0,0
2023-10-03 09:00:00,2023-10-03,9,18.4,1.9,100,19.6,0.0,0,0
2023-10-03 10:00:00,2023-10-03,10,17.1,3.8,100,20.8,0.0,0,0
2023-10-03 11:00:00,2023-10-03,11,17.2,0.1,71,19.5,0.0,0,0
2023-10-03 12:00:00,2023-10-03,12,18.9,0.0,47,25.6,0.0,0,0
2023-10-03 13:00:00,2023-10-03,13,17.9,0.1,22,25.3,0.0,0,0
2023-10-03 14:00:00,2023-10-03,14,18.9,0.1,8,20.6,0.0,0,0
2023-10-03 15:00:00,2023-10-03,15,19.4,0.0,12,21.7,0.0,0,0
2023-10-03 16:00:00,2023-10-03,16,19.1,0.0,6,21.1,0.0,0,0
2023-10-03 17:00:00,2023-10-03,17,18.6,0.0,0,18.0,0.0,0,0
2023-10-03 18:00:00,2023-10-03,18,17.3,0.0,1,11.1,0.0,0,0
2023-10-03 19:00:00,2023-10-03,19,15.1,0.0,0,7.0,0.0,0,0
2023-10-03 20:00:00,2023-10-03,20,14.3,0.0,0,7.6,0.0,0,0
2023-10-03 21:00:00,2023-10-03,21,13.5,0.0,2,7.3,0.0,0,0
2023-10-03 22:00:00,2023-10-03,22,12.6,0.0,2,6.5,0.0,0,0
2023-10-03 23:00:00,2023-10-03,23,12.3,0.0,8,8.0,0.0,0,0
2023-10-04 00:00:00,2023-10-04,0,12.4,0.0,1,9.0,0.0,0,0
2023-10-04 01:00:00,2023-10-04,1,11.8,0.0,1,9.8,0.0,0,0
2023-10-04 02:00:00,2023-10-04,2,10.9,0.0,4,7.6,0.0,0,0
2023-10-04 03:00:00,2023-10-04,3,10.6,0.0,2,8.6,0.0,0,0
2023-10-04 04:00:00,2023-10-04,4,10.3,0.0,0,7.6,0.0,0,0
2023-10-04 05:00:00,2023-10-04,5,10.0,0.0,0,6.8,0.0,0,0
2023-10-04 06:00:00,2023-10-04,6,9.6,0.0,3,5.9,0.0,0,0
2023-10-04 07:00:00,2023-10-04,7,9.4,0.0,14,6.4,0.0,0,0
2023-10-04 08:00:00,2023-10-04,8,11.1,0.0,98,7.5,0.0,0,0
2023-10-04 09:00:00,2023-10-04,9,13.3,0.0,100,4.6,0.0,0,0
2023-10-04 10:00:00,2023-10-04,10,15.2,0.0,100,4.6,0.0,0,0
2023-10-04 11:00:00,2023-10-04,11,16.4,0.0,100,6.2,0.0,0,0
2023-10-04 12:00:00,2023-10-04,12,17.3,0.0,100,8.7,0.0,0,0
2023-10-04 13:00:00,2023-10-04,13,17.4,0.0,100,6.9,0.0,0,0
2023-10-04 14:00:00,2023-10-04,14,18.5,0.0,100,7.2,0.0,0,0
2023-10-04 15:00:00,2023-10-04,15,19.0,0.0,53,7.2,0.0,0,0
2023-10-04 16:00:00,2023-10-04,16,19.0,0.0,70,5.7,0.0,0,0
2023-10-04 17:00:00,2023-10-04,17,18.6,0.0,89,6.1,0.0,0,0
2023-10-04 18:00:00,2023-10-04,18,16.1,0.0,97,6.7,0.0,0,0
2023-10-04 19:00:00,2023-10-04,19,16.6,0.0,87,5.4,0.0,0,0
2023-10-04 20:00:00,2023-10-04,20,15.4,0.0,100,3.8,0.0,0,0
2023-10-04 21:00:00,2023-10-04,21,12.4,0.0,99,4.2,0.0,0,0
2023-10-04 22:00:00,2023-10-04,22,11.1,0.0,99,5.2,0.0,0,0
2023-10-04 23:00:00,2023-10-04,23,10.9,0.0,100,5.4,0.0,0,0
2023-10-05 00:00:00,2023-10-05,0,10.7,0.0,99,5.3,0.0,0,0
2023-10-05 01:00:00,2023-10-05,1,11.3,0.0,100,3.8,0.0,0,0
2023-10-05 02:00:00,2023-10-05,2,10.7,0.0,100,4.8,0.0,0,0
2023-10-05 03:00:00,2023-10-05,3,10.6,0.0,100,4.8,0.0,0,0
2023-10-05 04:00:00,2023-10-05,4,9.7,0.0,99,6.0,0.0,0,0
2023-10-05 05:00:00,2023-10-05,5,9.2,0.0,99,7.8,0.0,0,0
2023-10-05 06:00:00,2023-10-05,6,9.2,0.0,100,7.2,0.0,0,0
2023-10-05 07:00:00,2023-10-05,7,10.3,0.0,99,3.5,0.0,0,0
2023-10-05 08:00:00,2023-10-05,8,10.6,0.0,100,2.8,0.0,0,0
2023-10-05 09:00:00,2023-10-05,9,13.4,0.0,98,2.5,0.0,0,0
2023-10-05 10:00:00,2023-10-05,10,15.9,0.0,92,4.8,0.0,0,0
2023-10-05 11:00:00,2023-10-05,11,17.4,0.0,100,4.5,0.0,0,0
2023-10-05 12:00:00,2023-10-05,12,18.3,0.0,96,4.7,0.0,0,0
2023-10-05 13:00:00,2023-10-05,13,18.0,0.0,98,0.7,0.0,0,0
2023-10-05 14:00:00,2023-10-05,14,18.8,0.0,94,0.8,0.0,0,0
2023-10-05 15:00:00,2023-10-05,15,19.2,0.0,75,1.5,0.0,0,0
2023-10-05 16:00:00,2023-10-05,16,19.1,0.0,100,2.9,0.0,0,0
2023-10-05 17:00:00,2023-10-05,17,18.6,0.0,100,4.4,0.0,0,0
2023-10-05 18:00:00,2023-10-05,18,16.7,0.0,100,5.6,0.0,0,0
2023-10-05 19:00:00,2023-10-05,19,14.8,0.0,100,6.6,0.0,0,0
2023-10-05 20:00:00,2023-10-05,20,13.7,0.0,99,6.6,0.0,0,0
2023-10-05 21:00:00,2023-10-05,21,12.9,0.0,61,5.9,0.0,0,0
2023-10-05 22:00:00,2023-10-05,22,12.0,0.0,80,6.5,0.0,0,0
2023-10-05 23:00:00,2023-10-05,23,11.3,0.0,91,7.1,0.0,0,0
2023-10-06 00:00:00,2023-10-06,0,11.2,0.0,100,6.3,0.0,0,0
2023-10-06 01:00:00,2023-10-06,1,10.8,0.0,100,6.2,0.0,0,0
2023-10-06 02:00:00,2023-10-06,2,9.9,0.0,100,7.0,0.0,0,0
2023-10-06 03:00:00,2023-10-06,3,9.3,0.0,100,8.5,0.0,0,0
2023-10-06 04:00:00,2023-10-06,4,9.6,0.0,100,6.6,0.0,0,0
2023-10-06 05:00:00,2023-10-06,5,9.3,0.0,100,5.8,0.0,0,0
2023-10-06 06:00:00,2023-10-06,6,8.5,0.0,100,6.9,0.0,0,0
2023-10-06 07:00:00,2023-10-06,7,8.4,0.0,100,6.2,0.0,0,0
2023-10-06 08:00:00,2023-10-06,8,10.1,0.0,100,8.4,0.0,0,0
2023-10-06 09:00:00,2023-10-06,9,12.5,0.0,100,5.5,0.0,0,0
2023-10-06 10:00:00,2023-10-06,10,15.5,0.0,99,4.7,0.0,0,0
2023-10-06 11:00:00,2023-10-06,11,17.9,0.0,90,5.7,0.0,0,0
