time,temperature_2m,precipitation,cloud_cover,wind_speed_10m
2023-10-01 00:00:00,14.2,0.0,0,7.5
2023-10-01 01:00:00,13.9,0.0,0,6.8
2023-10-01 02:00:00,13.5,0.0,0,8.4
2023-10-01 03:00:00,13.2,0.0,0,6.8
2023-10-01 04:00:00,12.8,0.0,0,5.4
2023-10-01 05:00:00,12.6,0.0,0,5.9
2023-10-01 06:00:00,12.4,0.0,0,6.0
2023-10-01 07:00:00,12.3,0.0,0,7.0
2023-10-01 08:00:00,13.8,0.0,0,11.4
2023-10-01 09:00:00,16.0,0.0,0,8.7
2023-10-01 10:00:00,18.6,0.0,0,9.2
2023-10-01 11:00:00,21.3,0.0,40,8.2
2023-10-01 12:00:00,23.0,0.0,26,7.2
2023-10-01 13:00:00,24.4,0.0,51,8.6
2023-10-01 14:00:00,25.2,0.0,78,10.8
2023-10-01 15:00:00,25.7,0.0,86,11.8
2023-10-01 16:00:00,25.7,0.0,97,11.5
2023-10-01 17:00:00,24.8,0.0,99,7.6
2023-10-01 18:00:00,21.8,0.0,99,7.1
2023-10-01 19:00:00,19.1,0.0,99,9.2
2023-10-01 20:00:00,18.5,0.0,100,6.9
2023-10-01 21:00:00,18.1,0.0,100,7.8
2023-10-01 22:00:00,17.5,0.0,99,8.7
2023-10-01 23:00:00,16.9,0.0,94,8.5
2023-10-02 00:00:00,15.5,0.0,100,8.0
2023-10-02 01:00:00,16.6,0.0,69,7.6
2023-10-02 02:00:00,15.6,0.0,73,6.6
2023-10-02 03:00:00,14.6,0.0,92,8.0
2023-10-02 04:00:00,14.0,0.0,44,6.6
2023-10-02 05:00:00,13.6,0.0,53,5.9
2023-10-02 06:00:00,13.5,0.0,81,7.8
2023-10-02 07:00:00,13.2,0.0,54,7.3
2023-10-02 08:00:00,14.4,0.0,100,9.6
2023-10-02 09:00:00,16.4,0.0,76,8.0
2023-10-02 10:00:00,18.9,0.0,99,7.7
2023-10-02 11:00:00,21.2,0.0,100,8.2
2023-10-02 12:00:00,23.3,0.0,100,9.0
2023-10-02 13:00:00,25.1,0.0,36,9.2
2023-10-02 14:00:00,26.3,0.0,99,10.2
2023-10-02 15:00:00,27.0,0.0,57,11.4
2023-10-02 16:00:00,27.2,0.0,0,11.9
2023-10-02 17:00:00,26.4,0.0,34,10.7
2023-10-02 18:00:00,24.0,0.0,0,10.6
2023-10-02 19:00:00,22.3,0.0,14,12.1
2023-10-02 20:00:00,21.6,0.0,89,12.7
2023-10-02 21:00:00,21.4,0.0,99,15.5
2023-10-02 22:00:00,21.6,0.0,100,17.4
2023-10-02 23:00:00,21.9,0.0,100,16.9
2023-10-03 00:00:00,22.0,0.0,100,16.1
2023-10-03 01:00:00,21.9,0.0,100,17.1
2023-10-03 02:00:00,21.0,0.0,100,17.1
2023-10-03 03:00:00,19.9,0.0,98,17.1
2023-10-03 04:00:00,19.2,0.0,100,14.4
2023-10-03 05:00:00,18.8,0.5,100,14.0
2023-10-03 06:00:00,18.5,0.0,99,15.9
2023-10-03 07:00:00,18.4,0.0,99,14.4
2023-10-03 08:00:00,19.1,0.1,100,17.7
2023-10-03 09:00:00,18.4,1.9,100,19.6
2023-10-03 10:00:00,17.1,3.8,100,20.8
2023-10-03 11:00:00,17.2,0.1,71,19.5
2023-10-03 12:00:00,18.9,0.0,47,25.6
2023-10-03 13:00:00,17.9,0.1,22,25.3
2023-10-03 14:00:00,18.9,0.1,8,20.6
2023-10-03 15:00:00,19.4,0.0,12,21.7
2023-10-03 16:00:00,19.1,0.0,6,21.1
2023-10-03 17:00:00,18.6,0.0,0,18.0
2023-10-03 18:00:00,17.3,0.0,1,11.1
2023-10-03 19:00:00,15.1,0.0,0,7.0
2023-10-03 20:00:00,14.3,0.0,0,7.6
2023-10-03 21:00:00,13.5,0.0,2,7.3
2023-10-03 22:00:00,12.6,0.0,2,6.5
2023-10-03 23:00:00,12.3,0.0,8,8.0
2023-10-04 00:00:00,12.4,0.0,1,9.0
2023-10-04 01:00:00,11.8,0.0,1,9.8
2023-10-04 02:00:00,10.9,0.0,4,7.6
2023-10-04 03:00:00,10.6,0.0,2,8.6
2023-10-04 04:00:00,10.3,0.0,0,7.6
2023-10-04 05:00:00,10.0,0.0,0,6.8
2023-10-04 06:00:00,9.6,0.0,3,5.9
2023-10-04 07:00:00,9.4,0.0,14,6.4
2023-10-04 08:00:00,11.1,0.0,98,7.5
2023-10-04 09:00:00,13.3,0.0,100,4.6
2023-10-04 10:00:00,15.2,0.0,100,4.6
2023-10-04 11:00:00,16.4,0.0,100,6.2
2023-10-04 12:00:00,17.3,0.0,100,8.7
2023-10-04 13:00:00,17.4,0.0,100,6.9
2023-10-04 14:00:00,18.5,0.0,100,7.2
2023-10-04 15:00:00,19.0,0.0,53,7.2
2023-10-04 16:00:00,19.0,0.0,70,5.7
2023-10-04 17:00:00,18.6,0.0,89,6.1
2023-10-04 18:00:00,16.1,0.0,97,6.7
2023-10-04 19:00:00,16.6,0.0,87,5.4
2023-10-04 20:00:00,15.4,0.0,100,3.8
2023-10-04 21:00:00,12.4,0.0,99,4.2
2023-10-04 22:00:00,11.1,0.0,99,5.2
2023-10-04 23:00:00,10.9,0.0,100,5.4
2023-10-05 00:00:00,10.7,0.0,99,5.3
2023-10-05 01:00:00,11.3,0.0,100,3.8
2023-10-05 02:00:00,10.7,0.0,100,4.8
2023-10-05 03:00:00,10.6,0.0,100,4.8
