description,population,start_date,end_date,location,zones,annee_scolaire
Vacances de la Toussaint,-,2017-10-20 22:00:00+00:00,2017-11-05 23:00:00+00:00,Toulouse,Zone C,2017-2018
Vacances de Noël,-,2017-12-22 23:00:00+00:00,2018-01-07 23:00:00+00:00,Versailles,Zone C,2017-2018
Vacances d'Hiver,-,2018-02-16 23:00:00+00:00,2018-03-04 23:00:00+00:00,Paris,Zone C,2017-2018
Vacances de Printemps,-,2018-04-13 22:00:00+00:00,2018-04-29 22:00:00+00:00,Paris,Zone C,2017-2018
Vacances d'Été,Enseignants,2018-07-06 22:00:00+00:00,2018-08-30 22:00:00+00:00,Versailles,Zone C,2017-2018
Vacances de Noël,-,2018-12-21 23:00:00+00:00,2019-01-06 23:00:00+00:00,Paris,Zone C,2018-2019
Vacances de Noël,-,2018-12-21 23:00:00+00:00,2019-01-06 23:00:00+00:00,Toulouse,Zone C,2018-2019
Vacances d'Hiver,-,2019-02-22 23:00:00+00:00,2019-03-10 23:00:00+00:00,Créteil,Zone C,2018-2019
Vacances d'Hiver,-,2019-02-22 23:00:00+00:00,2019-03-10 23:00:00+00:00,Paris,Zone C,2018-2019
Vacances de Printemps,-,2019-04-19 22:00:00+00:00,2019-05-05 22:00:00+00:00,Montpellier,Zone C,2018-2019
Vacances de Printemps,-,2019-04-19 22:00:00+00:00,2019-05-05 22:00:00+00:00,Versailles,Zone C,2018-2019
Pont de l'Ascension,-,2019-05-28 22:00:00+00:00,2019-06-02 22:00:00+00:00,Toulouse,Zone C,2018-2019
Vacances d'Été,Élèves,2019-07-05 22:00:00+00:00,2019-09-01 22:00:00+00:00,Créteil,Zone C,2018-2019
Vacances d'Été,Enseignants,2019-07-05 22:00:00+00:00,2019-08-29 22:00:00+00:00,Créteil,Zone C,2018-2019
Vacances d'Été,Enseignants,2019-07-05 22:00:00+00:00,2019-08-29 22:00:00+00:00,Toulouse,Zone C,2018-2019
Vacances de la Toussaint,-,2019-10-18 22:00:00+00:00,2019-11-03 23:00:00+00:00,Créteil,Zone C,2019-2020
Vacances de la Toussaint,-,2019-10-18 22:00:00+00:00,2019-11-03 23:00:00+00:00,Paris,Zone C,2019-2020
Vacances de Noël,-,2019-12-20 23:00:00+00:00,2020-01-05 23:00:00+00:00,Créteil,Zone C,2019-2020
Vacances d'Hiver,-,2020-02-07 23:00:00+00:00,2020-02-23 23:00:00+00:00,Versailles,Zone C,2019-2020
Vacances de Printemps,-,2020-04-03 22:00:00+00:00,2020-04-19 22:00:00+00:00,Créteil,Zone C,2019-2020
Vacances de Printemps,-,2020-04-03 22:00:00+00:00,2020-04-19 22:00:00+00:00,Montpellier,Zone C,2019-2020
Vacances de Printemps,-,2020-04-03 22:00:00+00:00,2020-04-19 22:00:00+00:00,Versailles,Zone C,2019-2020
Pont de l'Ascension,-,2020-05-19 22:00:00+00:00,2020-05-24 22:00:00+00:00,Créteil,Zone C,2019-2020
Pont de l'Ascension,-,2020-05-19 22:00:00+00:00,2020-05-24 22:00:00+00:00,Montpellier,Zone C,2019-2020
Vacances d'Été,Élèves,2020-07-03 22:00:00+00:00,2020-08-31 22:00:00+00:00,Toulouse,Zone C,2019-2020
Vacances d'Été,Enseignants,2020-07-03 22:00:00+00:00,2020-08-30 22:00:00+00:00,Créteil,Zone C,2019-2020
Vacances de la Toussaint,-,2020-10-16 22:00:00+00:00,2020-11-01 23:00:00+00:00,Créteil,Zone C,2020-2021
